,indirizzo_check
2169,CATERINA DA FORLI'
2170,CATERINA DA FORLI'
2171,CATERINA DA FORLI'
2172,CERTOSA
2173,CERTOSA
2174,CERTOSA
2175,CERTOSA
2176,CIRENE
2177,COL DI LANA
2178,CONI ZUGNA
2179,CONI ZUGNA
2180,CORSICA
2181,CORSICA
2182,CORSICA
2183,CORSICA
2184,
2185,DEI MILLE
2186,
2187,DORIA ANDREA
2188,DORIA ANDREA
2189,DORIA ANDREA
2190,ESPINASSE CARLO
2192,FAENZA
2191,FAENZA
2193,GIOVANNI DA CERMENATE
2194,GIOVANNI DA CERMENATE
2195,GRAN SASSO
2197,GRAN SASSO
2196,GRAN SASSO
2198,JENNER EDOARDO
2199,JENNER EDOARDO
2200,JENNER EDOARDO
2201,LANCETTI VINCENZO
2202,LAZIO
2203,LIGURIA
2204,LOMBARDIA
2205,LUCANIA
2206,LUCANIA
2207,LUCANIA
2208,MOLISE
2209,MONTE CENERI
2210,MONTE NERO
2211,MONTE NERO
2212,MONTE NERO
2213,MONZA
2214,MONZA
2215,MONZA
2216,MONZA
2217,MONZA
2218,MONZA
2219,MONZA
2220,MONZA
2221,
2222,
2223,
2224,MURILLO S.B.
2225,ORIONE DON LUIGI
2226,ORIONE DON LUIGI
2227,PAPINIANO
2228,PISA
2230,RANZONI DANIELE
2229,RANZONI DANIELE
2231,RANZONI DANIELE
2232,RANZONI DANIELE
2233,
2234,RODI
2235,ROMAGNA
2236,SABOTINO
2237,SAN GIMIGNANO
2238,SAN GIMIGNANO
2239,SAN GIMIGNANO
2240,
2241,SAN MICHELE DEL CARSO
2242,SARCA
2243,SARCA
2244,SAURO NAZARIO
2245,STEFINI EVARISTO
2246,STELVIO
2247,STELVIO
2248,STELVIO
2249,STELVIO
2250,SUZZANI GIOVANNI
2251,SUZZANI GIOVANNI
2252,SUZZANI GIOVANNI
2253,TESTI FULVIO
2254,TESTI FULVIO
2255,TESTI FULVIO
2256,TIBALDI
2257,TIBALDI
2258,TROYA CARLO
2259,TUNISIA
2260,TUNISIA
2261,UMBRIA
2262,UMBRIA
2263,UMBRIA
2264,ZARA
2265,ZARA
2266,ZARA
2267,GIARDINO
2270,ALDINI ANTONIO
2271,PAVIA
2268,SOLARI ANDREA
2269,MONZA
2272,GIOVIO PAOLO
2328,MAGENTA
2329,MONFORTE
2330,MONFORTE
2331,ZANDONAI RICCARDO
2332,SIENA
2333,BAGAROTTI MAFFEO
2334,BRONZINO
2335,BUGATTI ETTORE
2336,CASATI FELICE
2337,COMPAGNONI GIUSEPPE
2338,MARCO D'AGRATE
2339,MILAZZO
2340,
2341,NOVARO MICHELE
2342,ORNATO LUIGI
2343,OZANAM FEDERICO
2344,PLINIO CAIO SECONDO
2345,PRIMATICCIO FRANCESCO
2346,SANT' ANDREA
2347,SENATO
2348,TEODOSIO
2349,TOLSTOI LEONE
2350,DI PORTA ROMANA
2351,GENOVA
2352,SAN GOTTARDO
2353,GRANDI GIUSEPPE
2354,ACERBI ENRICO
2355,ASELLI GASPARE
2356,
2357,BOCCACCIO GIOVANNI
2358,BONI GIACOMO
2359,CASORETTO
2360,CASTEL MORRONE
2361,
2362,CUSAGO
2363,
2364,DOGANA
2365,LAMPUGNANO
2366,LATTANZIO
2367,PAOLO DA CANNOBIO
2368,PLINIO CAIO SECONDO
2369,PONTE NUOVO
2370,TAJANI FILIPPO
2371,UBERTI GIULIO
2372,VITRUVIO
2284,VITTORIO EMANUELE II
2285,
2286,BOCCACCIO GIOVANNI
2287,DEI CONTARINI
2288,LARGA
2289,MECENATE
2290,MERLO CARLO GIUSEPPE
2291,PRINA GIUSEPPE
2292,SANTA MARIA VALLE
2293,SPADARI
2294,CORSICA
2295,SEI FEBBRAIO
2296,ALBERTI LEON BATTISTA
2297,DEGLI OMENONI
2298,MANIN DANIELE
2299,RICOTTI ERCOLE
2300,SENATO
2301,BRIANZA
2302,FAMAGOSTA
2303,ROMAGNA
2304,
2305,F.LLI CAMPI
2306,POLIBIO
2307,ROMILLI ARCIVESCOVO
2308,TADINO ALESSANDRO
2309,TIZIANO VECELLIO
2310,ANACREONTE
2311,BONNET NINO
2312,FARINI CARLO
2313,MONTI VINCENZO
2314,ROTONDI GIOVANNI
2315,VALLE ANTRONA
2316,VITTANI GIOVANNI
2317,CERTOSA
2318,CONI ZUGNA
2319,PISANI VITTOR
2320,LEGIONI ROMANE
2321,ADIGRAT
2322,ANFOSSI AUGUSTO
2323,RUTILIA
2324,MATTEOTTI GIACOMO
2325,BASSI UGO
2326,
2327,SAN MICHELE DEL CARSO
2273,AGUDIO TOMMASO
2274,CANONICA LUIGI
2275,CARCANO FILIPPO
2276,CONTE ROSSO
2277,FOPPA VINCENZO
2278,NATTA GIULIO
2279,PELIZZA DA VOLPEDO
2280,PURICELLI GIAN PIETRO
2281,REMBRANDT
2282,SAFFI AURELIO
2283,TORINO
2373,CANTONI GIOVANNI
2374,FOPPA VINCENZO
2375,MARCELLO BENEDETTO
2376,NAVIGLIO PAVESE
2377,NAVIGLIO PAVESE
2378,COLOMBO CRISTOFORO
2379,DI PORTA ROMANA
2380,DI PORTA TICINESE
2381,GENOVA
2382,LODI
2383,LODI
2384,LODI
2385,LODI
2386,VENTIDUE MARZO
2387,SCALABRINI GIOVANNI BATTISTA
2388,SCHUSTER ILDEFONSO
2389,SETTIMIO SEVERO
2390,TEL AVIV
2391,VULCI
2392,CORVETTO LUIGI EMANUELE
2393,DATEO
2394,FERRARA
2395,LUGANO
2396,MACIACHINI CARLO
2397,SUSA
2398,AMATI CARLO
2399,BONOMELLI GEREMIA
2400,CAIAZZO
2401,CARRARA FRANCESCO
2402,CASTELLI POMPEO
2403,DE ANGELI ERNESTO
2404,GRAMSCI ANTONIO
2405,GRANDI GIUSEPPE
2406,GRECO
2407,LEGA LOMBARDA
2408,LUIGI DI SAVOIA
2409,MIANI GUGLIELMO
2410,MINNITI TITO
2411,MONTE FALTERONA
2412,MORBEGNO
2413,
2414,PIO XI
2415,SANTA MARIA DEL SUFFRAGIO
2416,SEI FEBBRAIO
2417,SICILIA
2418,DI PTA TICINESE
2419,ABAMONTI GIUSEPPE
2420,ADIGE
2421,ALBRICCI ALBERICO
2422,ALCUINO
2423,ALGAROTTI FRANCESCO
2424,AMADEO GIAN ANTONIO
2425,AMADEO GIAN ANTONIO
2426,
2427,ANGERA
2428,ANGUISSOLA SOFONISBA
2429,ANTONINI GIACOMO
2430,ANZANI FRANCESCO
2431,ARCHIMEDE
2432,ARENA
2433,ARIBERTO DA INTIMIANO
2434,ARICI CESARE
2435,ASELLI GASPARE
2436,ASELLI GASPARE
2437,BALDINUCCI FILIPPO
2438,BALDINUCCI FILIPPO
2439,BALESTRIERI DOMENICO
2440,BARI
2441,BARONI COSTANTINO
2444,BASSI UGO
2442,BASSINI EDOARDO
2443,BASSINI EDOARDO
2445,BATTISTI CESARE
2446,BATTISTOTTI SASSI LUISA
2447,BELLARMINO ROBERTO
2448,BELLOTTI FELICE
2449,BENGASI
2450,BERGAMO
2451,BESSARIONE
2452,BIELLA
2453,BINDA AMBROGIO
2454,BIONDELLI BERNARDINO
2455,BIUMI PAOLO GEROLAMO
2456,BOCCACCIO GIOVANNI
2457,
2458,BONI GIACOMO
2459,BONI GIACOMO
2460,BONNET NINO
2461,
2462,BOSCOVICH RUGGERO
2463,BOTTA CARLO
2464,BREDA ERNESTO
2465,BRIOSCHI FRANCESCO
2466,BRIOSI GIOVANNI
2467,BUSSETO
2468,CACCIALEPORI
2469,CACCIATORI BENEDETTO
2470,CADIBONA
2471,CADORE
2473,CALIFORNIA
2472,CALIFORNIA
2474,CALVAIRATE
2475,CAMOZZI GABRIELE
2476,CANDIANI GIUSEPPE
2477,CANONICA LUIGI
2478,CAPECELATRO ALFONSO
2479,CASATI FELICE
2480,CASELLA GIOVANNI BATTISTA
2481,CASORETTO
2482,CASORETTO
2483,CASTALDI PANFILO
2484,CASTALDI PANFILO
2485,CAVALERI LUDOVICO
2486,CELESTINO IV
2487,CENISIO
2488,CENISIO
2489,CIAIA IGNAZIO
2490,
2491,
2492,CIMAROSA DOMENICO
2493,CINO DA PISTOIA
2494,CIVITALI MATTEO
2495,CODARA GIUSEPPE
2497,COLA DI RIENZO
2496,COLA DI RIENZO
2498,CONCILIO VATICANO II
2499,CONSOLE MARCELLO
2500,CONTE ROSSO
2501,CORREGGIO
2502,COSSERIA
2503,CREMA
2504,CURTATONE
2505,D'ADDA CARLO
2506,DAL POZZO TOSCANELLI PAOLO
2526,DE RUGGIERO GUIDO
2507,DEGLI IMBRIANI
2508,DEGLI IMBRIANI
2509,
2510,DEGLI ZUCCARO
2511,DEI CARAFA
2512,DEI FIORDALISI
2513,DEL BOLLO
2514,DEL DON
2522,DEL MAINO GIASONE
2523,DEL MELLA
2524,DEL TORCHIO
2525,DEL TURCHINO
2515,DELLA MOSCOVA
2516,DELLA MOSCOVA
2517,
2518,DELLE FORZE ARMATE
2519,DELLE FORZE ARMATE
2520,DELLE FORZE ARMATE
2521,DELLE FORZE ARMATE
2527,DOLCI CARLO
2528,DONIZETTI GAETANO
2529,
2530,EDOLO
2531,ELBA
2532,EMANUELE FILIBERTO
2533,EUSTACHI BARTOLOMEO
2545,F.LLI ANTONA TRAVERSI
2546,F.LLI INDUNO
2534,FALCONE
2535,FARA GUSTAVO
2536,FARINI CARLO
2537,FATEBENEFRATELLI
2538,FAUCHE' GIOVANNI BATTISTA
2539,FERRIERI ENZO
2540,FEZZAN
2541,FIAMMA GALVANO
2542,FILZI FABIO
2543,FILZI FABIO
2544,FILZI FABIO
2547,FORNARI PASQUALE
2548,GALLINA GIACINTO
2550,GALLURA
2549,GALLURA
2551,GHERARDINI GIOVANNI
2552,GIOIA MELCHIORRE
2553,GIOIA MELCHIORRE
2554,GIOVIO PAOLO
2555,GIUSTI GIUSEPPE
2556,GLUCK CRISTOFORO
2557,GOVONE GIUSEPPE
2558,GOVONE GIUSEPPE
2559,GRAZIANO IMPERATORE
2560,GREPPI MARCO
2561,GROSSICH ANTONIO
2562,GROSSICH ANTONIO
2563,HAYEZ FRANCESCO
2564,ILLIRICO
2565,IMBONATI CARLO
2566,INGANNI ANGELO
2567,JACOPO DAL VERME
2568,JAN GIORGIO
2569,LAGRANGE GIUSEPPE
2570,LEPONTINA
2571,LEPONTINA
2572,LESSONA MICHELE
2573,LODOVICO IL MORO
2574,LODOVICO IL MORO
2575,
2576,LOMAZZO PAOLO
2577,LOMBROSO CESARE
2578,LOMBROSO CESARE
2579,LORENTEGGIO
2580,LORENTEGGIO
2581,LORENTEGGIO
2582,LORENTEGGIO
2583,LOSANNA
2584,LUINI BERNARDINO
2585,MAC MAHON
2586,MALPIGHI MARCELLO
2587,MALPIGHI MARCELLO
2588,MANTOVA
2589,MARCHIONNI CARLOTTA
2590,MARCHIONNI CARLOTTA
2591,MARCO D'AGRATE
2592,MARCONA
2593,MAROCHETTI CARLO
2594,MAROCHETTI CARLO
2595,MARTINETTI PIERO
2596,MAZZOLARI DON PRIMO
2597,MECENATE
2598,MELZO
2599,MICHELINO DA BESOZZO
2600,MINCIO
2601,MOMIGLIANO ATTILIO
2602,MONDOVI'
2604,MONTE OLIVETO
2605,MONTE PALOMBINO
2603,MONTEGANI LODOVICO
2606,MONTI VINCENZO
2607,MONTI VINCENZO
2608,
2609,MORA GIAN GIACOMO
2610,MORGAGNI GIOVANNI BATTISTA
2611,MORGAGNI GIOVANNI BATTISTA
2612,MORONE GEROLAMO
2613,MOROSINI EMILIO
2614,MUSSI GIUSEPPE
2615,NEERA ANNA
2616,NEGROLI
2617,NERI POMPEO
2618,NOVARO MICHELE
2619,OLMETTO
2620,ORNATO LUIGI
2621,ORNATO LUIGI
2622,ORSINI VINCENZO GIORDANO
2623,ORTICA
2624,PACINI GIOVANNI
2625,PADOVA
2626,PADOVA
2627,PADOVA
2628,PADOVA
2629,PAGLIANO ELEUTERIO
2630,PALAZZI LAZZARO
2631,PALMANOVA
2632,PALMANOVA
2633,PAOLO DA CANNOBIO
2634,PAPI LAZZARO
2635,PARENZO
2636,PARETO VILFREDO
2637,PASCARELLA CESARE
2638,PASCOLI GIOVANNI
2639,PECCHIO GIUSEPPE
2640,PERGOLESI GIOVANNI BATTISTA
2641,PERUGINO
2642,PEZZOTTI GIOVANNI
2643,PIACENZA
2644,PIERI MARIO
2645,PIERO DELLA FRANCESCA
2646,PILO ROSOLINO
2647,PISANELLO
2648,PISANI VITTOR
2649,PISANI VITTOR
2650,PISTRUCCI SCIPIONE
2651,PITTERI RICCARDO
2652,PLINIO CAIO SECONDO
2653,PLINIO CAIO SECONDO
2654,PONALE
2655,PONCHIELLI AMILCARE
2656,PONTE NUOVO
2657,PONTE NUOVO
2658,PONTE SEVESO
2659,POPULONIA
2660,PORPORA NICOLA ANTONIO
2661,PORPORA NICOLA ANTONIO
2662,PRIMATICCIO FRANCESCO
2663,PROCACCINI GIULIO CESARE
2664,QUINTO ROMANO
2665,RAVIZZA CARLO
2666,REMBRANDT
2668,RIPAMONTI GIUSEPPE
2667,RIPAMONTI GIUSEPPE
2669,RIPAMONTI GIUSEPPE
2670,RIPAMONTI GIUSEPPE
2671,RISMONDO FRANCESCO
2672,RISMONDO FRANCESCO
2673,RIVA DI TRENTO
2674,ROMEO NICOLA
2675,RONCAGLIA
2676,RONCHI
2677,ROSSI PELLEGRINO
2678,ROVELLO
2679,ROVERETO
2680,ROVETTA GEROLAMO
2681,RUBENS PIETRO
2682,RUGGERO DI LAURIA
2683,RUSSO VINCENZO
2684,RUTILIA
2709,S. GIOV. SUL MURO
2685,SAINT BON SIMONE
2686,SAINT BON SIMONE
2687,SALASCO
2688,SALO'
2689,SAMMARTINI GIOVANNI BATTISTA
2691,SAN FERMO
2693,SAN MAMETE
2694,SAN MAMETE
2695,SAN MAURILIO
2696,SAN SIRO
2690,SAND GEORGE
2692,SANGALLO
2697,SANSOVINO
2700,SANT' ANATALONE
2698,SANTA MARIA FULCORINA
2699,SANTA MARIA VALLE
2701,SANZIO RAFFAELLO
2702,
2703,SAVONA
2704,SCHIAPARELLI GIOVANNI
2705,SCIESA AMATORE
2706,SEBASTIANO DEL PIOMBO
2707,SEBASTIANO DEL PIOMBO
2708,SEBETO
2710,SILVA GUGLIELMO
2711,SISMONDI GIANCARLO
2712,SODERINI LUIGI
2713,SODERINI LUIGI
2714,SOLARI ANDREA
2715,SOLARI ANDREA
2716,SOPERGA
2717,SOTTOCORNO PASQUALE
2718,STENDHAL ENRICO
2719,STOPPANI ANTONIO
2720,STROMBOLI
2721,SULMONA
2722,TABACCHI ODOARDO
2723,TADINO ALESSANDRO
2724,TARAMELLI TORQUATO
2725,TARRA GIULIO
2726,TARTINI GIUSEPPE
2727,TEODOSIO
2728,TERAMO
2729,TERMOPILI
2730,TITO LIVIO
2731,TIVOLI
2732,
2733,TOLSTOI LEONE
2734,TOLSTOI LEONE
2735,TORRICELLI EVANGELISTA
2736,TURATI FILIPPO
2737,URBANO III
2738,VAL DI SOLE
2741,VAL TROMPIA
2742,VAL TROMPIA
2739,VALFURVA
2740,VALLE ISORNO
2743,VANNUCCI ATTO
2744,VARANINI LUIGI
2745,VARANINI LUIGI
2746,VARE' GIOVANNI BATTISTA
2747,VENINI GIULIO E CORRADO
2748,VENINI GIULIO E CORRADO
2749,VERGATO
2750,VERRO BERNARDINO
2751,VIGEVANO
2752,VILLORESI EUGENIO
2753,VITTADINI CARLO
2754,WASHINGTON GIORGIO
2755,WASHINGTON GIORGIO
2756,WASHINGTON GIORGIO
2757,WASHINGTON GIORGIO
2758,WATT GIACOMO
2759,ZANOLI ALESSANDRO
2760,ZURETTI GIANFRANCO
2761,ZURETTI GIANFRANCO
2762,ABRUZZI
2763,AFFORI
2764,ARETUSA
2765,BEATRICE D'ESTE
2766,BLIGNY
2767,BRIANZA
2768,CAMPANIA
2769,CAMPANIA
2770,CASSALA
2771,CERTOSA
2772,CERTOSA
2773,CERTOSA
2774,CONI ZUGNA
2775,CORSICA
2776,CORSICA
2777,CRISPI FRANCESCO
2778,DELLE RIMEMBRANZE DI GRECO
2779,GIAN GALEAZZO
2780,
2781,GORIZIA
2782,JENNER EDOARDO
2783,MOLISE
2784,MONTE NERO
2785,MONZA
2786,MONZA
2787,MONZA
2788,MONZA
2789,MONZA
2790,PICENO
2791,PICENO
2792,PISA
2793,SABOTINO
2794,SAN GIMIGNANO
2795,SAN GIMIGNANO
2796,SAN MICHELE DEL CARSO
2797,SAN MICHELE DEL CARSO
2798,SERRA RENATO
2799,SUZZANI GIOVANNI
2800,SUZZANI GIOVANNI
2801,TEODORICO
2802,TESTI FULVIO
2803,TESTI FULVIO
2804,TESTI FULVIO
2805,TIBALDI
2806,TORELLI LUIGI
2807,TROYA CARLO
2808,UMBRIA
2809,UMBRIA
2810,UNGHERIA
2811,ZARA
2812,ZARA
2813,ZARA
2814,ZARA
2815,SAN GALDINO
2816,ATENE
2817,PETROCCHI POLICARPO
2818,FUSINA ANDREA
2819,GRANDI GIUSEPPE
2820,SANT' AMBROGIO
2821,CASTELLANZA
2822,CORRIDONI FILIPPO
2823,COSTA ANDREA
2824,GRAZIOLI DON BARTOLOMEO
2825,MODENA GUSTAVO
2826,PAISIELLO GIOVANNI
2827,QUARENGHI GIACOMO
2828,RICCIARELLI DANIELE
2829,RICCIARELLI DANIELE
2830,ROSSI PELLEGRINO
2831,SANTA TECLA
2832,VIGNOLI TITO
2833,SICILIA
2834,ABAMONTI GIUSEPPE
2835,BOTTICELLI SANDRO
2836,BRUNELLESCHI FILIPPO
2837,CABELLA BARTOLOMEO
2838,CARDINALE MEZZOFANTI
2839,DEI FONTANILI
2840,GIAMBELLINO
2841,GOLFO DEGLI ARANCI
2842,GROSOTTO
2843,IMBONATI CARLO
2844,
2845,
2846,OSIMO AUGUSTO
2847,QUARENGHI GIACOMO
2848,TEANO
2849,TRENNO
2850,VAL DI BONDO
2851,VITRUVIO
2852,VODICE
2853,AFFORI
2854,CERTOSA
2855,GAIO
2865,VITTORIO VENETO
2866,STEFINI EVARISTO
2860,SELLA QUINTINO
2861,TORTONA
2862,SOLFERINO
2863,CADORNA LUIGI
2864,MEDA GIUSEPPE
2856,PADOVA
2857,MONZA
2858,UNGHERIA
2859,CUSANI
2867,BONCOMPAGNI CARLO
2889,CIARDI GUGLIELMO
2890,BURLAMACCHI FRANCESCO
2891,PADOVA
2892,DELLA ROBBIA LUCA
2871,DI PORTA LODOVICA
2872,FERABOLI ACHILLE
2873,SANT' ELEMBARDO
2874,LIGURIA
2875,VITTORIO EMANUELE II
2876,DE ANGELI ERNESTO
2877,BIXIO NINO
2878,FILZI FABIO
2879,KRAMER ANTONIO
2880,MAZZINI GIUSEPPE
2881,MODENA GUSTAVO
2882,PARINI GIUSEPPE
2883,SALVINI TOMMASO
2884,
2885,CINQUE GIORNATE
2886,PAOLO DA CANNOBIO
2887,PRINA GIUSEPPE
2888,TITO LIVIO
2868,CESARE DA SESTO
2869,COLONNA MARCO ANTONIO
2870,GONZAGA MAURIZIO
2893,TEL AVIV
2894,CADORNA LUIGI
2895,BAZZI GIOVANNI ANTONIO
2896,MISSORI GIUSEPPE
2897,ALBANI FRANCESCO
2898,ARBE
2899,BRISA
2900,CASTALDI PANFILO
2901,CERVIGNANO
2902,DELLE FORZE ARMATE
2903,LECCO
2904,MAURI ANGELO
2905,NEERA ANNA
2906,RIMINI
2907,TEODOSIO
2908,ARETUSA
2909,BEZZI ERGISTO
2910,NAVIGLIO PAVESE
3169,NAVIGLIO GRANDE
3170,DI PORTA VOLTA
3171,BUENOS AIRES
3172,BUENOS AIRES
3173,BUENOS AIRES
3174,BUENOS AIRES
3175,BUENOS AIRES
3176,DI PORTA ROMANA
3177,DI PORTA ROMANA
3178,DI PORTA VITTORIA
3179,DI PORTA VITTORIA
3180,DI PORTA VITTORIA
3181,GARIBALDI GIUSEPPE
3182,ITALIA
3183,ITALIA
3184,LODI
3185,LODI
3186,LODI
3187,LODI
3188,MAGENTA
3189,MAGENTA
3190,
3191,SAN GOTTARDO
3192,SEMPIONE
3193,VENEZIA
3194,VENTIDUE MARZO
3195,VENTIDUE MARZO
3196,VENTIDUE MARZO
3197,VERCELLI
3198,VERCELLI
3199,VERCELLI
3200,VERCELLI
3201,CORSIA DEI SERVI
3202,RICHINI FRANCESCO
3203,RICHINI FRANCESCO
3204,SETTIMIO SEVERO
3205,TOSCANINI ARTURO
3206,BARACCA FRANCESCO
3207,CANTORE ANTONIO
3208,ISTRIA
3209,BOSSI MAURILIO
3210,GIORDANO UMBERTO
3211,ASPROMONTE
3212,BORROMEO
3213,CAIAZZO
3214,CINQUE GIORNATE
3215,CINQUE GIORNATE
3216,DE ANGELI ERNESTO
3217,DEL DUOMO
3218,DELLA REPUBBLICA
3219,GRAMSCI ANTONIO
3220,MELOZZO DA FORLI'
3221,MIANI GUGLIELMO
3222,NAPOLI
3223,PIO XI
3224,SAN FEDELE
3225,SANT' AMBROGIO
3226,VESUVIO
3227,DI PTA TICINESE
3228,DI PTA TICINESE
3229,ALBERTI LEON BATTISTA
3230,ANFITEATRO
3231,ANFOSSI AUGUSTO
3232,ARCHIMEDE
3233,ARCO
3234,ASSIETTA
3235,ASTESANI ALESSANDRO
3236,AUSONIO
3237,BAINSIZZA
3238,BARACCHINI FLAVIO
3239,BATTISTOTTI SASSI LUISA
3240,BELLINI GENTILE
3241,BENACO
3242,BERGAMO
3243,BERGOGNONE AMBROGIO DA FOSSANO
3244,BIONDI EZIO
3245,BOCCACCIO GIOVANNI
3246,BOCCACCIO GIOVANNI
3247,
3248,BOSCHETTI ERASMO
3249,BOSCOVICH RUGGERO
3250,BRAGA GAETANO
3251,BRIOSCHI FRANCESCO
3252,BRIOSCHI FRANCESCO
3253,BROGGI GIUSEPPE
3254,BRUNO CASSINARI
3256,BRUZZESI GIACINTO
3255,BRUZZESI GIACINTO
3257,CACCIALEPORI
3258,CACCIATORI BENEDETTO
3259,CALVI PIETRO
3260,
3261,CANONICA LUIGI
3262,CANONICA LUIGI
3263,CAPECELATRO ALFONSO
3264,CAPECELATRO ALFONSO
3265,CAPECELATRO ALFONSO
3266,CAPPUCCIO
3267,CARDINALE MEZZOFANTI
3268,CARDUCCI GIOSUE'
3269,CARETTA ANNIBALE
3270,CASTALDI PANFILO
3271,CASTALDI PANFILO
3272,CELIO
3273,CERNUSCHI ENRICO
3274,CERVIGNANO
3275,
3276,CHIOGGIA
3279,COL MOSCHIN
3277,COLA DI RIENZO
3278,COLAUTTI ARTURO
3280,COLONNA VITTORIA
3281,COMPAGNONI GIUSEPPE
3282,CONCHETTA
3283,COPERNICO NICOLO'
3284,CORRENTI CESARE
3285,COSTA ANDREA
3286,CREMA
3287,CROCEFISSO
3288,CUNEO
3289,DE AMICIS EDMONDO
3290,DE AMICIS EDMONDO
3291,DEI CINQUECENTO
3292,DEI GRIMANI
3297,DEL PASSERO
3293,DELLA COMMENDA
3294,DELLE FORZE ARMATE
3295,DELLE FORZE ARMATE
3296,DELLE FORZE ARMATE
3298,DISCIPLINI
3299,DON BOSCO
3300,EGADI
3301,EUSTACHI BARTOLOMEO
3308,F.LLI BEOLCHI
3309,F.LLI BRONZETTI
3310,F.LLI BRONZETTI
3311,
3312,F.LLI RUFFINI
3302,FACCIOLI CESARE
3303,FALCONE
3304,FARINI CARLO
3305,FARINI CARLO
3306,FARNETI RODOLFO
3307,FILZI FABIO
3313,FONTANA
3314,FOPPA VINCENZO
3315,FRIULI
3316,GARIAN
3317,GIOIA MELCHIORRE
3318,GIOIA MELCHIORRE
3319,GIOIA MELCHIORRE
3320,GIOIA MELCHIORRE
3321,GORKI MASSIMO
3322,GOVONE GIUSEPPE
3323,GRAZIANO IMPERATORE
3324,GRIGNA
3325,GRIZIOTTI GIACOMO
3326,IMBONATI CARLO
3327,IMBONATI CARLO
3328,JAN GIORGIO
3329,LAGRANGE GIUSEPPE
3330,LAMARMORA ALFONSO
3331,LANINO BERNARDINO
3332,LARGA
3333,LASSALLE FERDINANDO
3334,LAZZARETTO
3335,LEGNANO
3336,LEPONTINA
3337,LITTA POMPEO
3338,LIVIGNO
3340,LOMAZZO PAOLO
3339,LOMAZZO PAOLO
3341,LOVANIO
3342,LUINI BERNARDINO
3343,MAC MAHON
3344,MAC MAHON
3345,MAIOCCHI ACHILLE
3347,MAMBRETTI ANTONIO
3346,MAMBRETTI ANTONIO
3348,MAMELI GOFFREDO
3349,MARCELLO BENEDETTO
3350,MARCELLO BENEDETTO
3351,MARCHESI POMPEO
3352,MARIANI POMPEO
3353,MASACCIO
3354,MASCHERONI LORENZO
3355,MASSARENTI GIUSEPPE
3356,MAURI ACHILLE
3357,MAURI ANGELO
3358,MAZZINI GIUSEPPE
3359,MAZZINI GIUSEPPE
3360,MELORIA
3361,MELZO
3362,
3363,MERCADANTE SAVERIO
3364,MILAZZO
3365,MONTE CENGIO
3366,MONTE NEVOSO
3367,MONTI VINCENZO
3368,MURATORI LODOVICO
3369,MUSSI GIUSEPPE
3370,OLGETTINA
3371,OLTROCCHI BALDASSARE
3372,ORTI
3373,OSOPPO
3374,OZANAM FEDERICO
3375,PADOVA
3377,PADOVA
3376,PADOVA
3378,PALAZZI LAZZARO
3379,PALEOCAPA PIETRO
3380,PANIZZI ANTONIO
3381,PAOLO DA CANNOBIO
3382,PAPI LAZZARO
3383,PARAVIA PIER ALESSANDRO
3384,PARINI GIUSEPPE
3385,PASCOLI GIOVANNI
3386,PECCHIO GIUSEPPE
3387,PERGOLESI GIOVANNI BATTISTA
3388,PERUGINO
3389,PETRELLA ERRICO
3390,PEZZOTTI GIOVANNI
3392,PIACENZA
3391,PIACENZA
3393,PIANELL SALVATORE
3394,PISACANE CARLO
3395,PLEZZO
3396,PONTE SEVESO
3397,PONTE SEVESO
3398,PORDENONE
3399,PORPORA NICOLA ANTONIO
3400,PORRO LAMBERTENGHI LUIGI
3401,PREVIATI GAETANO
3402,PRIMATICCIO FRANCESCO
3403,PRINA GIUSEPPE
3404,PRINA GIUSEPPE
3405,PRINCIPE EUGENIO
3406,PROCACCINI GIULIO CESARE
3407,RASORI GIOVANNI
3408,RASORI GIOVANNI
3409,REINA FRANCESCO
3410,RENZO E LUCIA
3411,ROMEO NICOLA
3412,RONCHI
3413,ROSMINI ANTONIO
3415,ROSSI PELLEGRINO
3414,ROSSINI GIOACCHINO
3417,RUBENS PIETRO
3416,RUBENS PIETRO
3433,S. GIOV. SUL MURO
3434,S. GIOV. SUL MURO
3418,SAN CALOCERO
3419,SAN GALDINO
3420,SAN PAOLO
3425,SAN TOMASO
3426,SAN VINCENZO
3422,SANT' ANDREA
3421,SANTA MARIA ALLA PORTA
3423,SANTA SOFIA
3424,SANTA TECLA
3427,SARPI FRA' PAOLO
3428,SARPI FRA' PAOLO
3429,SCHIAPARELLI GIOVANNI
3430,SEBASTIANO DEL PIOMBO
3431,SENATO
3432,SENATO
3435,SIGIERI GOFFREDO
3436,SILVA GUGLIELMO
3437,SOLFERINO
3438,SOLFERINO
3439,SOMMACAMPAGNA
3440,STRADIVARI ANTONIO
3441,STRAMBIO GAETANO
3442,TADINO ALESSANDRO
3443,TADINO ALESSANDRO
3444,TAGLIAMENTO
3445,TAORMINA
3446,TARTINI GIUSEPPE
3447,TEODOSIO
3448,TEODOSIO
3449,TEODOSIO
3450,TERAMO
3452,TIRABOSCHI GEROLAMO
3451,TIRABOSCHI GEROLAMO
3453,TITO LIVIO
3454,TIZIANO VECELLIO
3455,TORRIANI NAPO
3456,TOSI FRANCO
3457,TRAIANO MARCO ULPIO
3458,TURATI FILIPPO
3459,TURATI FILIPPO
3460,VALLAZZE
3461,VALLAZZE
3462,VERGATO
3463,VOLTA ALESSANDRO
