Ubicazione
PZA GRANDI GIUSEPPE N. 1 ; (z.d. 4)
PZA GRANDI GIUSEPPE N. 22 ; (z.d. 4)
PZA GRANDI GIUSEPPE N. 24 con ingr. c.so xxii marzo; (z.d. 4)
PZA GRANDI GIUSEPPE N. 5 ; (z.d. 4)
PZA GRECO N. 10 ; (z.d. 2)
PZA GUARDI FRANCESCO N. 15 ; (z.d. 3)
PZA GUARDI FRANCESCO N. 4 ; (z.d. 3)
PZA IMPERATORE TITO N. 6 ; (z.d. 4)
PZA IMPERATORE TITO N. 8 ; (z.d. 4)
PZA INSUBRIA N. 10 ; (z.d. 4)
PZA LEGA LOMBARDA N. 5 ; (z.d. 1)
PZA LIMA N. 2 (z.d. 3)
PZA LIMA N. 3 ; (z.d. 3)
PZA LUIGI DI SAVOIA N. 2 ; (z.d. 2)
PZA LUIGI DI SAVOIA N. 2 con ingresso p.za duca d'aosta; (z.d. 2)
PZA LUIGI DI SAVOIA N. 22 primo piano; (z.d. 2)
PZA MELOZZO DA FORLI' N. 11 ; (z.d. 7)
PZA MIANI GUGLIELMO N. 2 ; (z.d. 6)
PZA MIANI GUGLIELMO N. 5 (z.d. 6)
PZA MIANI GUGLIELMO N. 5 ; (z.d. 6)
PZA MINNITI TITO N. 6 ; (z.d. 9)
PZA MISSORI GIUSEPPE N. 3 nel soppalco; (z.d. 1)
PZA MONTE FALTERONA N. 2 ; (z.d. 7)
PZA MONTE FALTERONA N. 3 ; (z.d. 7)
PZA MONTE FALTERONA N. 6 ; (z.d. 7)
PZA MONTI GIOSIA N. 1 ; (z.d. 7)
PZA MONTI GIOSIA N. 9 ; (z.d. 7)
PZA MORBEGNO N. 3 ; (z.d. 2)
PZA MORBEGNO N. 5 ; (z.d. 2)
PZA NAPOLI N. 19 ; (z.d. 6)
PZA NAPOLI N. 2 ; (z.d. 6)
PZA NAPOLI N. 31 ; (z.d. 6)
PZA NAPOLI N. 7 ; (z.d. 6)
PZA OBERDAN GUGLIELMO N. 10 ; (z.d. 3)
PZA OBERDAN GUGLIELMO N. 3 (z.d. 3)
PZA OBERDAN GUGLIELMO N. 3 1 loc. al p.t. e 1 loc. al sop; (z.d. 3)
PZA OBERDAN GUGLIELMO num.000; (z.d. 3)
PZA OSPEDALE MAGGIORE N. 3 (z.d. 9)
PZA PEREGO GIOVANNI N. 7 ; (z.d. 8)
PZA PIO XI N. 1 (z.d. 1)
PZA PIO XI N. 1 ; (z.d. 1)
PZA PIO XI N. 1 secondo piano; (z.d. 1)
PZA PREALPI N. 4 ; (z.d. 8)
PZA QUATTRO NOVEMBRE N. 6 piano rialzato; (z.d. 2)
PZA RISORGIMENTO N. 4 ; (z.d. 4)
PZA RISORGIMENTO N. 7 ; (z.d. 3)
PZA SAN FEDELE N. 2 ; (z.d. 1)
PZA SAN FEDELE N. 2 con ingresso in via agnello; (z.d. 1)
PZA SAN GIUSEPPE N. 8 ; (z.d. 9)
PZA SAN GIUSEPPE N. 9 ; (z.d. 9)
PZA SAN LUIGI N. 5 ; (z.d. 4)
PZA SAN NAZARO IN BROLO N. 3 ; (z.d. 1)
PZA SANT' AGOSTINO N. 18 piano rialzato e seminterrato; (z.d. 1)
PZA SANT' AGOSTINO N. 2 ; (z.d. 1)
PZA SANT' AGOSTINO N. 24 ; (z.d. 1)
PZA SANT' AMBROGIO N. 2 piano terra e seminterrato; (z.d. 1)
PZA SANT' AMBROGIO N. 5 interno della caserma di p.s.; (z.d. 1)
PZA SANTA FRANCESCA ROMANA N. 1 ; (z.d. 3)
PZA SANTA MARIA DEL SUFFRAGIO N. 4 ; (z.d. 4)
PZA SCHIAVONE ANDREA N. 10 ; (z.d. 9)
PZA SCHIAVONE ANDREA N. 19 ; (z.d. 9)
PZA SCOLARI ROSA N. 1 ; (z.d. 8)
PZA SCOLARI ROSA N. 4 ; (z.d. 8)
PZA SEI FEBBRAIO N. 12 (z.d. 8)
PZA SEI FEBBRAIO N. 16 ; (z.d. 8)
PZA SEI FEBBRAIO N. 26 ; (z.d. 8)
PZA SICILIA N. 1 ; (z.d. 7)
PZA SICILIA N. 7 ; (z.d. 7)
PZA SIGMUND FREUD N. 1 int. staz. p.ta garibaldi; (z.d. 9)
PZA STUPARICH CARLO N. 18 ; (z.d. 8)
PZA TIRANA N. 12 ; (z.d. 6)
PZA VELASCA N. 10 ; (z.d. 1)
PZA VELASCA N. 6 ; (z.d. 1)
PZA VESUVIO N. 15 ; (z.d. 7)
PZA VIGILI DEL FUOCO N. 8 ; (z.d. 3)
RIP DI PTA TICINESE N. 103 ; (z.d. 6)
RIP DI PTA TICINESE N. 107 ; (z.d. 6)
RIP DI PTA TICINESE N. 129 (z.d. 6)
RIP DI PTA TICINESE N. 27 ; (z.d. 6)
